Fiscal Year,State Name,County,Congressional District,Program Area,Program,Zip Code,Persistent Poverty Community Status,Borrower Name,Project Name,Investment Type,City,Lender Name,Funding Code,NAICS Industry Sector,County FIPS,NAICS National Industry Code,NAICS National Industry,Portfolio Type,Project Announced Description,Investment Dollars,Number of Investments,State Abbr,Award Type,Has Description
2018,Nebraska,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,"Rural Health Patners, Inc.",NE0712-D,Grant Funds,,Not Applicable,TELEMEDICINE- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to help Heartland Health Alliance using telemedicine technology, provide essential opioid misuse and treatment services, mental health and other medical specialty care throughout Nebraska, Western Iowa, and Northern Kansas. These services will allow 14 rural hospitals located in these states to increase access to services routinely available in more urban and populated areas. Innovative telemedicine equipment will enable healthcare professionals to remotely diagnose patients, impacting approximately 37,000 residents surrounding these facilities. The use of high definition remotely operated pan, tilt and zoom cameras and digitally connected medical devices such as otoscopes, stethoscopes and other primary medical indicating devices will allow a patient doctor virtual reality type interaction. The project hardware will also allow physicians to consult collaboratively and in real time with patients even if all parties are in different physical locations.",471059,1,NE,DL + TM,Yes
2018,Nebraska,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Rural Nebraska Healthcare Network,NE0735-A,Grant Funds,,Not Applicable,TELEMEDICINE- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to help Rural Nebraska Healthcare Network replace obsolete telemedicine technology at nine sites in far western Nebraska to continue modernization of the existing tele-health system. This project installed a core all-fiber backbone and paired electronics on the new network. This investment will allow for installation of innovative technology, computers, and software to enable all sites to deliver medical care predominantly aimed at opioid misuse, but also to provide primary, emergency, and specialty care using collaborative resources from all network clinics and hospitals. Sites from this project will impact Arthur, Banner, Box Butte, Cheyenne, Dawes, Duel, Garden, Grant, Keith, Kimball, Morrill, Perkins, Scotts Bluff, Sheridan, and Sioux Counties. The project has potential to serve 43,840 residents.",265159,1,NE,DL + TM,Yes
2018,Nebraska,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Southeast Community College,NE0734-B,Grant Funds,,Not Applicable,DISTANCE LEARNING- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to create a multi-campus simulation center connecting Southeast Community Colleges Lincoln and Beatrice campuses as well as the six learning centers. Science, Technology, Engineering and Math (STEM) education, particularly related to health care and bioscience education, will be delivered to a 15-county service area. The Colleges instructors will provide STEM education courses to rural areas in Southeast Nebraska at the learning center locations benefiting 44,428 people.",495631,1,NE,DL + TM,Yes
2018,Nevada,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Renown Health,NV0708-B,Grant Funds,,Not Applicable,TELEMEDICINE- GRANT,Utilities,Not Available,,Not Available,Commercial,Detailed Project Description Not Available,227148,1,NV,DL + TM,No
2018,New Hampshire,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,University of New Hampshire,NH0712-C,Grant Funds,,Not Applicable,DLT OPIOID GRANTS,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to help the University of New Hampshire, Durham, New Hampshire, purchase telemedicine equipment to expand its telehealth network. There will be four locations in Durham, Littleton, Gorham, Plymouth and Bristol, New Hampshire, in Stratfford and Grafton Counties. The areas of emphasis for this project are: Providing opioid misuse treatment, education regarding telemedicine services, and the expansion of clinical teaching-learning opportunities in rural areas of New Hampshire, impacting approximately 18,820 residents.",113371,1,NH,DL + TM,Yes
2018,New Hampshire,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Weeks Medical Center,NH0715-A,Grant Funds,,Not Applicable,TELEMEDICINE- GRANT,Utilities,Not Available,,Not Available,Commercial,Detailed Project Description Not Available,132431,1,NH,DL + TM,No
2018,New Mexico,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,San Juan College,NM0725-A,Grant Funds,,Not Applicable,DISTANCE LEARNING- GRANT,Utilities,Not Available,,Not Available,Commercial,Detailed Project Description Not Available,170092,1,NM,DL + TM,No
2018,New York,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Board of Cooperative Educational Service,NY0726-G,Grant Funds,,Not Applicable,DISTANCE LEARNING- GRANT,Utilities,Not Available,,Not Available,Commercial,Detailed Project Description Not Available,394744,1,NY,DL + TM,No
2018,New York,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Cattaraugus-Allegany-Erie-Wyoming BOCES,NY0703-L,Grant Funds,,Not Applicable,DISTANCE LEARNING- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to help Cattaraugus - Allegany - Erie - Wyoming Board of Cooperative Educational Services and its Science Connected Across Networks (SCAN) Extension deliver Science, Technology, Engineering, and Math (STEM) curricula via distance learning technology. The program will offer K-12 STEM courses, professional development courses, along with substance abuse prevention and educational content. High-definition interactive, distance learning technology will be used to deliver high-quality educational content to 13 sites from seven pure hub sites. Two of the seven hubs are professional health care and education organizations. This project will benefit over 6,715 students and teachers in the New York Counties of Allegany, Cattaraugus, and Wyoming.",168227,1,NY,DL + TM,Yes
2018,New York,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,"Southern Tier Health Care System, Inc.",NY0744-B,Grant Funds,,Not Applicable,DLT OPIOID GRANTS,Utilities,Not Available,,Not Available,Commercial,Detailed Project Description Not Available,255629,1,NY,DL + TM,No
